# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,false
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4254
SuccessfulRequests,4254
Conflicts,132
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.7377
AvgAcquireTimeMs,14.738834038551952
AvgProcessingTimeMs,49.43582510578279
AvgTotalTimeMs,79.71180065820404

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
1,resource_4,20,11,46
9,resource_0,14,45,71
15,resource_1,16,60,90
19,resource_4,16,61,102
17,resource_0,18,39,72
14,resource_4,16,67,99
13,resource_3,13,52,81
12,resource_1,19,87,124
5,resource_0,15,72,114
11,resource_4,13,61,97
18,resource_2,13,88,114
4,resource_4,13,68,97
1,resource_3,22,26,67
15,resource_1,16,48,82
2,resource_3,13,53,85
7,resource_1,11,65,90
17,resource_4,11,34,62
3,resource_1,19,39,77
9,resource_0,20,34,77
16,resource_2,22,68,103
6,resource_2,25,56,93
8,resource_0,17,52,86
0,resource_0,5,82,94
19,resource_0,13,42,77
5,resource_3,14,15,47
14,resource_2,19,40,73
4,resource_3,18,33,70
13,resource_3,21,31,67
9,resource_1,5,57,80
10,resource_0,11,59,82
14,resource_4,13,25,47
2,resource_0,12,9,36
8,resource_2,12,42,72
12,resource_4,13,97,127
11,resource_3,20,38,76
15,resource_0,19,48,87
1,resource_0,16,16,48
16,resource_3,9,61,78
4,resource_3,9,29,57
3,resource_4,16,46,78
15,resource_2,12,21,44
17,resource_1,10,50,77
10,resource_3,15,30,64
18,resource_4,13,70,101
6,resource_4,18,55,84
7,resource_1,20,87,113
12,resource_1,17,23,63
3,resource_3,10,55,79
19,resource_1,19,23,58
0,resource_2,14,57,88
14,resource_0,16,61,84
5,resource_3,18,80,119
4,resource_2,18,20,44
8,resource_0,21,55,88
9,resource_1,12,92,116
13,resource_3,12,73,91
17,resource_4,16,57,83
6,resource_4,13,77,110
18,resource_4,13,52,87
2,resource_2,18,55,91
15,resource_1,11,48,73
3,resource_2,20,40,75
10,resource_2,12,85,107
12,resource_0,13,49,72
7,resource_4,8,54,71
2,resource_0,14,26,50
16,resource_1,21,48,79
1,resource_2,14,88,127
17,resource_2,11,58,85
15,resource_1,21,34,66
11,resource_4,17,67,98
0,resource_3,14,44,80
5,resource_0,18,89,124
13,resource_3,14,39,74
19,resource_2,5,66,89
4,resource_4,12,87,110
6,resource_0,14,79,110
8,resource_4,18,56,91
1,resource_3,11,48,74
18,resource_1,10,34,66
7,resource_0,15,61,90
9,resource_1,22,61,89
14,resource_4,21,45,80
17,resource_0,18,54,92
16,resource_1,15,69,90
19,resource_2,9,47,62
10,resource_1,19,90,120
4,resource_3,17,44,83
12,resource_0,15,53,76
2,resource_4,23,43,78
1,resource_4,19,59,100
0,resource_2,10,41,64
6,resource_1,18,67,103
18,resource_4,15,26,52
10,resource_0,16,6,39
15,resource_4,12,19,45
8,resource_4,21,12,48
5,resource_0,16,84,118
3,resource_0,11,49,73
7,resource_4,15,58,89
13,resource_2,19,47,77
9,resource_3,6,77,90
19,resource_4,13,68,104
11,resource_0,11,26,56
12,resource_3,18,36,65
17,resource_3,8,60,93
14,resource_2,11,59,86
16,resource_4,16,50,79
4,resource_1,4,53,71
0,resource_0,9,36,66
6,resource_1,13,57,86
11,resource_4,15,14,45
2,resource_0,19,37,64
19,resource_0,23,42,75
14,resource_2,15,60,90
1,resource_1,18,7,35
15,resource_2,14,73,107
7,resource_0,11,74,91
3,resource_0,8,63,87
18,resource_2,21,73,106
16,resource_2,12,66,97
12,resource_1,11,31,45
13,resource_2,10,37,66
10,resource_2,14,39,65
8,resource_1,15,38,81
9,resource_3,18,73,104
5,resource_2,21,63,102
11,resource_4,14,36,58
10,resource_0,5,10,32
2,resource_1,20,31,67
17,resource_4,5,89,111
9,resource_1,19,32,71
6,resource_4,18,38,74
14,resource_1,16,71,97
3,resource_4,10,49,70
0,resource_4,6,69,96
19,resource_0,11,21,42
4,resource_0,17,38,72
7,resource_0,16,72,107
1,resource_2,15,35,68
13,resource_3,19,42,81
12,resource_3,17,79,114
15,resource_1,15,39,64
10,resource_1,9,82,107
11,resource_3,13,43,75
18,resource_3,19,56,87
6,resource_3,13,42,73
14,resource_4,14,89,115
16,resource_2,16,52,86
11,resource_0,15,55,83
0,resource_0,12,51,81
8,resource_2,27,26,79
1,resource_2,4,19,35
12,resource_3,9,23,48
3,resource_1,16,17,47
5,resource_2,13,45,76
17,resource_4,16,35,67
9,resource_4,12,72,107
10,resource_2,12,26,58
7,resource_4,18,39,80
15,resource_4,15,26,52
13,resource_2,19,43,83
19,resource_2,17,33,65
2,resource_0,25,52,91
18,resource_3,15,52,84
8,resource_0,17,45,72
13,resource_4,22,49,93
14,resource_3,15,38,66
11,resource_4,19,34,72
6,resource_4,19,86,125
4,resource_2,21,38,78
17,resource_4,16,53,78
1,resource_3,15,45,80
10,resource_2,8,28,63
19,resource_4,25,33,70
16,resource_3,11,42,68
14,resource_0,15,1,26
2,resource_0,10,40,73
8,resource_3,24,39,78
11,resource_2,14,5,31
7,resource_1,22,26,63
4,resource_4,4,34,55
9,resource_4,9,44,79
0,resource_0,18,34,63
12,resource_0,19,46,92
3,resource_2,20,47,76
13,resource_4,20,92,126
2,resource_3,17,82,117
6,resource_2,16,48,86
8,resource_0,8,61,84
7,resource_0,15,14,45
5,resource_3,20,56,85
15,resource_4,14,93,124
9,resource_2,11,39,72
16,resource_4,24,35,74
10,resource_4,14,54,88
18,resource_2,16,62,99
17,resource_0,1,33,54
7,resource_3,17,71,113
1,resource_1,13,35,66
14,resource_3,6,49,71
3,resource_2,25,39,75
4,resource_0,10,99,125
19,resource_1,20,54,94
0,resource_1,16,65,85
11,resource_0,10,34,61
13,resource_0,16,77,119
15,resource_4,5,69,83
12,resource_3,10,54,81
2,resource_0,23,59,85
1,resource_1,13,59,82
9,resource_0,14,62,100
16,resource_0,16,57,88
10,resource_4,12,19,46
11,resource_0,22,23,58
0,resource_1,19,75,99
8,resource_1,15,59,96
13,resource_1,12,47,78
4,resource_2,3,44,62
6,resource_3,17,48,88
5,resource_4,19,50,81
19,resource_2,19,59,87
7,resource_4,14,63,85
18,resource_4,15,67,95
14,resource_1,21,78,112
2,resource_0,11,26,54
3,resource_2,7,44,61
1,resource_0,24,26,65
15,resource_1,23,57,98
0,resource_1,20,18,52
6,resource_1,14,64,92
17,resource_0,15,64,92
4,resource_3,16,42,85
5,resource_0,9,57,93
10,resource_0,16,98,128
0,resource_3,26,8,52
9,resource_2,18,93,122
11,resource_0,25,27,75
13,resource_0,11,72,94
18,resource_1,12,38,66
12,resource_2,15,38,76
8,resource_0,16,36,69
7,resource_4,15,71,104
14,resource_2,16,47,84
19,resource_0,18,38,76
10,resource_3,14,59,92
16,resource_4,19,47,83
6,resource_4,16,41,76
1,resource_4,4,36,58
3,resource_4,18,74,107
15,resource_2,19,62,94
17,resource_3,22,51,87
14,resource_2,15,57,81
2,resource_0,13,59,93
0,resource_1,13,49,78
9,resource_1,10,62,79
5,resource_3,15,13,46
19,resource_3,18,70,100
4,resource_0,19,41,67
18,resource_1,8,56,74
10,resource_3,18,70,102
13,resource_0,18,69,102
12,resource_3,17,43,81
11,resource_4,23,88,128
1,resource_3,18,60,94
3,resource_1,11,58,77
8,resource_3,22,85,126
9,resource_3,11,31,59
16,resource_4,17,44,86
18,resource_1,11,46,74
14,resource_1,2,37,45
0,resource_2,13,43,68
6,resource_1,8,55,78
17,resource_4,8,39,64
4,resource_3,16,22,51
5,resource_0,8,40,65
15,resource_0,5,51,73
13,resource_2,23,38,78
19,resource_3,8,17,38
14,resource_1,13,31,53
10,resource_4,2,56,77
2,resource_4,25,50,87
11,resource_4,25,13,60
7,resource_2,9,102,130
15,resource_4,13,38,62
18,resource_0,10,40,72
12,resource_3,11,54,83
1,resource_0,15,48,80
8,resource_3,23,32,85
15,resource_2,22,35,71
16,resource_4,16,38,73
5,resource_4,11,47,75
17,resource_1,14,81,112
13,resource_1,19,71,107
0,resource_3,6,59,93
11,resource_0,16,56,81
3,resource_4,12,23,48
9,resource_2,12,66,94
10,resource_0,12,24,53
19,resource_1,21,58,92
6,resource_4,12,87,117
17,resource_0,20,21,53
7,resource_0,20,58,85
4,resource_4,9,46,71
1,resource_0,11,63,86
14,resource_3,13,59,81
12,resource_1,10,44,71
18,resource_3,11,31,58
3,resource_4,21,31,67
2,resource_0,14,74,101
16,resource_3,15,67,98
8,resource_3,11,32,67
1,resource_1,12,16,48
7,resource_2,17,26,54
11,resource_4,21,71,100
17,resource_4,24,70,109
14,resource_1,19,47,77
10,resource_3,9,55,73
0,resource_3,17,77,101
6,resource_1,15,48,83
15,resource_3,14,43,72
13,resource_3,18,53,89
19,resource_0,15,61,95
5,resource_0,18,27,57
2,resource_0,15,66,95
18,resource_4,25,76,119
7,resource_0,15,47,77
8,resource_2,8,100,122
16,resource_4,12,34,58
9,resource_1,10,80,113
3,resource_2,12,55,85
13,resource_3,11,53,79
4,resource_0,5,17,35
1,resource_0,19,58,91
17,resource_1,12,45,67
11,resource_0,11,62,95
6,resource_3,15,61,94
8,resource_0,11,62,84
15,resource_3,13,47,84
10,resource_1,11,51,76
12,resource_4,16,85,112
7,resource_1,16,59,92
5,resource_2,13,64,83
0,resource_0,16,68,95
14,resource_4,10,58,82
12,resource_0,12,48,68
19,resource_0,14,55,88
4,resource_3,23,71,109
9,resource_4,11,62,88
18,resource_4,20,30,77
0,resource_2,17,49,84
2,resource_0,14,68,101
15,resource_1,11,68,87
11,resource_1,19,48,79
8,resource_3,17,50,79
16,resource_3,11,66,92
7,resource_4,21,36,69
3,resource_4,20,63,99
10,resource_4,15,76,104
1,resource_1,18,33,60
5,resource_1,25,61,99
19,resource_2,13,14,47
18,resource_4,14,89,119
17,resource_0,6,65,82
6,resource_2,15,46,77
8,resource_0,14,28,62
14,resource_3,14,94,130
11,resource_3,8,37,63
12,resource_3,8,52,79
13,resource_4,14,59,84
15,resource_0,5,64,81
4,resource_2,10,46,76
1,resource_4,18,59,92
3,resource_0,15,50,78
6,resource_2,20,19,55
2,resource_2,12,60,85
0,resource_0,9,59,88
16,resource_0,18,44,81
10,resource_4,11,37,61
19,resource_1,14,50,77
9,resource_3,12,34,64
18,resource_3,17,31,69
12,resource_3,13,52,83
17,resource_4,9,82,100
15,resource_2,21,58,95
7,resource_0,13,42,75
5,resource_3,18,59,91
11,resource_3,14,58,92
4,resource_1,19,36,71
16,resource_1,14,54,79
15,resource_0,8,1,26
6,resource_3,13,43,83
10,resource_2,6,36,62
13,resource_4,12,85,106
8,resource_2,29,91,134
3,resource_2,1,66,83
7,resource_1,13,36,68
0,resource_2,10,37,66
14,resource_0,8,64,90
19,resource_3,12,21,47
9,resource_4,17,29,64
1,resource_4,16,63,91
12,resource_0,18,59,91
18,resource_4,11,71,104
2,resource_3,17,46,80
17,resource_4,11,69,90
16,resource_0,10,15,34
11,resource_2,14,78,113
3,resource_1,12,63,88
5,resource_1,16,42,75
10,resource_3,15,49,81
0,resource_0,8,50,71
4,resource_4,16,97,130
7,resource_0,6,63,86
13,resource_2,10,68,102
17,resource_2,7,46,66
6,resource_3,6,25,42
19,resource_0,16,54,91
9,resource_3,15,54,89
18,resource_3,14,36,69
5,resource_0,13,80,107
8,resource_4,17,41,76
15,resource_3,19,73,114
11,resource_2,11,82,109
14,resource_4,17,39,76
10,resource_0,19,79,115
12,resource_4,22,51,87
1,resource_4,20,81,123
0,resource_0,8,36,65
13,resource_0,10,54,69
3,resource_0,22,22,59
9,resource_3,9,63,92
2,resource_1,17,57,84
4,resource_1,14,45,70
7,resource_1,11,59,76
15,resource_0,19,20,54
16,resource_2,13,80,111
14,resource_4,14,87,120
3,resource_4,16,64,87
0,resource_4,16,44,71
11,resource_3,18,40,75
18,resource_2,16,43,69
19,resource_3,16,60,93
10,resource_3,15,50,88
6,resource_1,17,47,79
17,resource_3,19,67,112
8,resource_3,21,36,77
12,resource_4,21,57,99
