# Simulation Configuration
NumContainers,20
NumResources,5
SimulationTime,60
MaxConcurrentAccess,3
SynchronizationEnabled,true
NetworkLatencyMean,15
ProcessingTimeMean,50

# Summary Metrics
TotalRequests,4219
SuccessfulRequests,4219
Conflicts,0
Timeouts,0
TotalDuration,61
ThroughputPerSecond,69.16393
AvgAcquireTimeMs,16.008532827684284
AvgProcessingTimeMs,49.20786916330884
AvgTotalTimeMs,81.03342024176345

# Access Logs
ContainerId,ResourceId,AcquireTimeMs,ProcessingTimeMs,TotalTimeMs
2,resource_3,12,36,65
5,resource_1,15,43,69
12,resource_1,20,36,73
14,resource_2,12,37,73
8,resource_0,5,37,59
4,resource_4,13,69,102
13,resource_4,9,25,54
7,resource_3,16,52,71
9,resource_3,21,43,74
18,resource_0,15,65,96
6,resource_2,13,67,93
1,resource_1,17,73,98
16,resource_1,17,37,71
10,resource_3,16,68,99
17,resource_2,12,49,77
3,resource_3,16,61,95
8,resource_2,18,23,59
1,resource_1,22,3,44
18,resource_1,12,30,61
5,resource_1,17,55,85
4,resource_2,15,31,60
15,resource_4,18,33,62
11,resource_0,16,60,91
6,resource_4,9,10,41
0,resource_4,8,42,75
19,resource_0,21,60,99
13,resource_1,12,44,72
17,resource_1,23,59,96
7,resource_3,12,29,50
2,resource_2,12,58,77
14,resource_1,14,74,110
18,resource_3,17,40,79
10,resource_2,4,53,63
18,resource_3,10,31,44
12,resource_0,9,46,70
16,resource_2,23,38,82
15,resource_2,16,62,94
5,resource_0,15,41,70
2,resource_2,14,39,72
9,resource_1,20,58,99
7,resource_4,12,52,75
10,resource_2,18,46,75
3,resource_1,13,20,46
13,resource_1,15,44,85
5,resource_3,16,39,73
0,resource_2,15,52,84
1,resource_2,9,51,76
19,resource_1,22,54,96
6,resource_4,17,69,100
4,resource_0,17,32,60
11,resource_0,13,94,131
8,resource_0,14,54,93
17,resource_0,56,22,95
14,resource_1,21,52,82
2,resource_1,19,43,82
0,resource_4,13,22,55
9,resource_1,17,21,49
7,resource_2,16,11,49
15,resource_1,14,73,111
16,resource_1,14,60,86
3,resource_2,10,8,34
5,resource_1,11,46,74
10,resource_0,10,53,88
18,resource_1,8,97,116
12,resource_0,15,46,84
13,resource_2,12,48,79
